REPORT : H,IGHLOW Rev,2.1,,,,,,RUN :,2007-11-23 00:00:00,
2006-11-06 00:00:00,2006-11-06 00:00:00,38,2006-11-06 00:00:00,37.5,37.5,2,1000,37600,2006-11-06 00:00:00,1
2006-11-08 00:00:00,2006-11-08 00:00:00,36.75,2006-11-08 00:00:00,35.75,36.5,2,300,10925,2006-11-08 00:00:00,1
2006-11-13 00:00:00,2006-11-13 00:00:00,36.5,2006-11-13 00:00:00,35.25,36.5,3,400,14225,2006-11-13 00:00:00,1
2006-11-14 00:00:00,2006-11-14 00:00:00,40,2006-11-14 00:00:00,36.5,37,7,8000,296700,2006-11-14 00:00:00,1
2006-11-15 00:00:00,2006-11-15 00:00:00,40,2006-11-15 00:00:00,38,38.75,3,2500,96750,2006-11-15 00:00:00,1
2006-11-16 00:00:00,2006-11-16 00:00:00,37,2006-11-16 00:00:00,36,36.75,8,3800,139925,2006-11-16 00:00:00,1
2006-11-17 00:00:00,2006-11-17 00:00:00,38,2006-11-17 00:00:00,38,38,2,200,7600,2006-11-17 00:00:00,1
2006-11-22 00:00:00,2006-11-22 00:00:00,38,2006-11-22 00:00:00,35.75,37.5,4,1400,52475,2006-11-22 00:00:00,1
2006-11-28 00:00:00,2006-11-28 00:00:00,37,2006-11-28 00:00:00,34,37,5,1200,43725,2006-11-28 00:00:00,1
2006-11-29 00:00:00,2006-11-29 00:00:00,36.5,2006-11-29 00:00:00,36.5,36.5,1,42800,1562200,2006-11-29 00:00:00,1
2006-11-30 00:00:00,2006-11-30 00:00:00,37,2006-11-30 00:00:00,34.25,36,2,300,10825,2006-11-30 00:00:00,1
2006-12-01 00:00:00,2006-12-01 00:00:00,36.5,2006-12-01 00:00:00,34.25,36.5,4,800,27850,2006-12-01 00:00:00,1
2006-12-08 00:00:00,2006-12-08 00:00:00,36,2006-12-08 00:00:00,35,36,2,400,14200,2006-12-08 00:00:00,1
2006-12-11 00:00:00,2006-12-11 00:00:00,36,2006-12-11 00:00:00,34,35.5,5,1200,42550,2006-12-11 00:00:00,1
2006-12-14 00:00:00,2006-12-14 00:00:00,35.75,2006-12-14 00:00:00,34.25,34.75,3,300,10425,2006-12-14 00:00:00,1
2006-12-18 00:00:00,2006-12-18 00:00:00,35.25,2006-12-18 00:00:00,34.25,34.5,4,900,30975,2006-12-18 00:00:00,1
2006-12-19 00:00:00,2006-12-19 00:00:00,35,2006-12-19 00:00:00,35,35,1,100,3500,2006-12-19 00:00:00,1
2006-12-28 00:00:00,2006-12-28 00:00:00,41,2006-12-28 00:00:00,41,41,1,100,4100,2006-12-28 00:00:00,1
2006-12-29 00:00:00,2006-12-29 00:00:00,37,2006-12-29 00:00:00,36.75,37,2,200,7375,2006-12-29 00:00:00,1
Company Id,:  COXY,Security,Type :  N,Sub T,ype :  0000,,,,,
Short Name,:  CEYLON O,XYGEN,,,,,,,,
-----------,-----------,------------,------------,-----------,-----------,----------,----------------,-------------------,-------------,------
Day,Date High,High,Date Low,Low,Closing,Trades(No,.)  Shares(No.),Turnover(Rs.),Last TradedD,ays Tr
----------,-----------,------------,------------,-----------,-----------,----------,----------------,-------------------,-------------,------
2006-01-02 00:00:00,2006-01-02 00:00:00,162,2006-01-02 00:00:00,162,162,1,100,16200,2006-01-02 00:00:00,1
2006-01-03 00:00:00,2006-01-03 00:00:00,167,2006-01-03 00:00:00,167,167,1,100,16700,2006-01-03 00:00:00,1
2006-01-04 00:00:00,2006-01-04 00:00:00,170,2006-01-04 00:00:00,166,168.5,6,1000,168000,2006-01-04 00:00:00,1
2006-01-05 00:00:00,2006-01-05 00:00:00,170,2006-01-05 00:00:00,170,170,1,100,17000,2006-01-05 00:00:00,1
2006-01-06 00:00:00,2006-01-06 00:00:00,170,2006-01-06 00:00:00,170,170,1,100,17000,2006-01-06 00:00:00,1
2006-01-09 00:00:00,2006-01-09 00:00:00,190,2006-01-09 00:00:00,170,175.5,5,900,158000,2006-01-09 00:00:00,1
2006-01-10 00:00:00,2006-01-10 00:00:00,176.5,2006-01-10 00:00:00,175,175.75,2,200,35150,2006-01-10 00:00:00,1
2006-01-16 00:00:00,2006-01-16 00:00:00,169,2006-01-16 00:00:00,167,168.5,7,1100,185400,2006-01-16 00:00:00,1
2006-01-18 00:00:00,2006-01-18 00:00:00,165,2006-01-18 00:00:00,163.5,163.5,2,200,32850,2006-01-18 00:00:00,1
2006-01-19 00:00:00,2006-01-19 00:00:00,165,2006-01-19 00:00:00,165,165,3,400,66000,2006-01-19 00:00:00,1
2006-01-20 00:00:00,2006-01-20 00:00:00,170,2006-01-20 00:00:00,168,169.75,4,800,135700,2006-01-20 00:00:00,1
2006-01-23 00:00:00,2006-01-23 00:00:00,172,2006-01-23 00:00:00,170,170,3,1600,272200,2006-01-23 00:00:00,1
2006-01-24 00:00:00,2006-01-24 00:00:00,170,2006-01-24 00:00:00,169.25,170,4,1000,169625,2006-01-24 00:00:00,1
2006-01-26 00:00:00,2006-01-26 00:00:00,180,2006-01-26 00:00:00,166,177.75,7,3400,609200,2006-01-26 00:00:00,1
2006-01-27 00:00:00,2006-01-27 00:00:00,180,2006-01-27 00:00:00,175,175,5,1900,333000,2006-01-27 00:00:00,1
2006-01-31 00:00:00,2006-01-31 00:00:00,180,2006-01-31 00:00:00,180,180,5,900,162000,2006-01-31 00:00:00,1
2006-02-01 00:00:00,2006-02-01 00:00:00,180,2006-02-01 00:00:00,180,180,4,800,144000,2006-02-01 00:00:00,1
2006-02-02 00:00:00,2006-02-02 00:00:00,180.25,2006-02-02 00:00:00,180,180.25,2,1000,180125,2006-02-02 00:00:00,1
2006-02-07 00:00:00,2006-02-07 00:00:00,187,2006-02-07 00:00:00,186,186,5,2200,409700,2006-02-07 00:00:00,1
2006-02-08 00:00:00,2006-02-08 00:00:00,189.75,2006-02-08 00:00:00,185.5,186.25,2,500,93175,2006-02-08 00:00:00,1
2006-02-10 00:00:00,2006-02-10 00:00:00,190,2006-02-10 00:00:00,186,186,3,400,75000,2006-02-10 00:00:00,1
2006-02-13 00:00:00,2006-02-13 00:00:00,185,2006-02-13 00:00:00,185,185,3,300,55500,2006-02-13 00:00:00,1
2006-02-14 00:00:00,2006-02-14 00:00:00,185,2006-02-14 00:00:00,185,185,4,1000,185000,2006-02-14 00:00:00,1
2006-02-15 00:00:00,2006-02-15 00:00:00,191,2006-02-15 00:00:00,187,190,10,14900,2828850,2006-02-15 00:00:00,1
2006-02-16 00:00:00,2006-02-16 00:00:00,192,2006-02-16 00:00:00,191,192,5,700,134000,2006-02-16 00:00:00,1
2006-02-17 00:00:00,2006-02-17 00:00:00,199.75,2006-02-17 00:00:00,194,199.75,11,2500,488050,2006-02-17 00:00:00,1
_x000c_ REPORT :,HIGHLOW Rev,2.1,,,,,,RUN :,2007-11-23 00:00:00,
,,,DAILY,"HIGH, LOW",AND CLOSIN,G PRICES A,S AT    23-NOV-2,007          PAGE:,**,
,,,==========,===========,===========,==========,================,,,
Company Id,:  COXY,Security,Type :  N,Sub T,ype :  0000,,,,,
Short Name,:  CEYLON O,XYGEN,,,,,,,,
-----------,-----------,------------,------------,-----------,-----------,----------,----------------,-------------------,-------------,------
Day,Date High,High,Date Low,Low,Closing,Trades(No,.)  Shares(No.),Turnover(Rs.),Last TradedD,ays Tr
----------,-----------,------------,------------,-----------,-----------,----------,----------------,-------------------,-------------,------
2006-02-20 00:00:00,2006-02-20 00:00:00,200,2006-02-20 00:00:00,197,197,3,400,79100,2006-02-20 00:00:00,1
2006-02-21 00:00:00,2006-02-21 00:00:00,200,2006-02-21 00:00:00,196,198,16,4100,818450,2006-02-21 00:00:00,1
2006-02-23 00:00:00,2006-02-23 00:00:00,200,2006-02-23 00:00:00,186.5,187.25,48,9700,1873375,2006-02-23 00:00:00,1
2006-02-24 00:00:00,2006-02-24 00:00:00,190,2006-02-24 00:00:00,187.25,189.25,17,4200,791750,2006-02-24 00:00:00,1
2006-02-27 00:00:00,2006-02-27 00:00:00,189,2006-02-27 00:00:00,189,189,3,1400,264600,2006-02-27 00:00:00,1
2006-02-28 00:00:00,2006-02-28 00:00:00,186,2006-02-28 00:00:00,186,186,4,500,93000,2006-02-28 00:00:00,1
2006-03-01 00:00:00,2006-03-01 00:00:00,190,2006-03-01 00:00:00,188,188.75,3,300,56600,2006-03-01 00:00:00,1
2006-03-02 00:00:00,2006-03-02 00:00:00,190,2006-03-02 00:00:00,190,190,8,1500,285000,2006-03-02 00:00:00,1
2006-03-03 00:00:00,2006-03-03 00:00:00,190,2006-03-03 00:00:00,190,190,3,300,57000,2006-03-03 00:00:00,1
2006-03-06 00:00:00,2006-03-06 00:00:00,189,2006-03-06 00:00:00,189,189,1,100,18900,2006-03-06 00:00:00,1
2006-03-07 00:00:00,2006-03-07 00:00:00,189,2006-03-07 00:00:00,189,189,3,1400,264600,2006-03-07 00:00:00,1
2006-03-08 00:00:00,2006-03-08 00:00:00,190,2006-03-08 00:00:00,185.75,187.5,12,3400,644850,2006-03-08 00:00:00,1
2006-03-09 00:00:00,2006-03-09 00:00:00,190,2006-03-09 00:00:00,190,190,4,800,152000,2006-03-09 00:00:00,1
2006-03-10 00:00:00,2006-03-10 00:00:00,190,2006-03-10 00:00:00,188,188,4,700,132600,2006-03-10 00:00:00,1
2006-03-13 00:00:00,2006-03-13 00:00:00,190,2006-03-13 00:00:00,187.5,187.5,2,200,37750,2006-03-13 00:00:00,1
2006-03-15 00:00:00,2006-03-15 00:00:00,187.5,2006-03-15 00:00:00,187.5,187.5,1,200,37500,2006-03-15 00:00:00,1
2006-03-17 00:00:00,2006-03-17 00:00:00,185,2006-03-17 00:00:00,185,185,1,500,92500,2006-03-17 00:00:00,1
2006-03-20 00:00:00,2006-03-20 00:00:00,183,2006-03-20 00:00:00,183,183,1,100,18300,2006-03-20 00:00:00,1
2006-03-21 00:00:00,2006-03-21 00:00:00,182,2006-03-21 00:00:00,180,180.75,9,1100,199100,2006-03-21 00:00:00,1
2006-03-22 00:00:00,2006-03-22 00:00:00,181,2006-03-22 00:00:00,180,180,5,2100,378100,2006-03-22 00:00:00,1
2006-03-23 00:00:00,2006-03-23 00:00:00,178,2006-03-23 00:00:00,175,175.5,5,700,123300,2006-03-23 00:00:00,1
2006-03-27 00:00:00,2006-03-27 00:00:00,175,2006-03-27 00:00:00,175,175,6,1300,227500,2006-03-27 00:00:00,1
2006-03-28 00:00:00,2006-03-28 00:00:00,180,2006-03-28 00:00:00,172,176,4,400,70375,2006-03-28 00:00:00,1
2006-03-30 00:00:00,2006-03-30 00:00:00,180,2006-03-30 00:00:00,180,180,1,200,36000,2006-03-30 00:00:00,1
2006-04-03 00:00:00,2006-04-03 00:00:00,182,2006-04-03 00:00:00,182,182,1,1000,182000,2006-04-03 00:00:00,1
2006-04-05 00:00:00,2006-04-05 00:00:00,185,2006-04-05 00:00:00,185,185,1,200,37000,2006-04-05 00:00:00,1
2006-04-07 00:00:00,2006-04-07 00:00:00,185,2006-04-07 00:00:00,182,183.5,7,800,146700,2006-04-07 00:00:00,1
2006-04-10 00:00:00,2006-04-10 00:00:00,183.5,2006-04-10 00:00:00,183.5,183.5,1,100,18350,2006-04-10 00:00:00,1
2006-04-17 00:00:00,2006-04-17 00:00:00,182.5,2006-04-17 00:00:00,181.5,181.5,11,21400,3895400,2006-04-17 00:00:00,1
2006-04-18 00:00:00,2006-04-18 00:00:00,190,2006-04-18 00:00:00,190,190,1,300,57000,2006-04-18 00:00:00,1
2006-04-20 00:00:00,2006-04-20 00:00:00,187,2006-04-20 00:00:00,184.5,184.75,7,6200,1155800,2006-04-20 00:00:00,1
2006-04-24 00:00:00,2006-04-24 00:00:00,186,2006-04-24 00:00:00,185,186,6,2200,408950,2006-04-24 00:00:00,1
2006-04-25 00:00:00,2006-04-25 00:00:00,186,2006-04-25 00:00:00,186,186,1,100,18600,2006-04-25 00:00:00,1
2006-04-26 00:00:00,2006-04-26 00:00:00,181,2006-04-26 00:00:00,179.75,180,9,4700,846050,2006-04-26 00:00:00,1
2006-04-28 00:00:00,2006-04-28 00:00:00,186.5,2006-04-28 00:00:00,186.5,186.5,1,100,18650,2006-04-28 00:00:00,1
2006-05-02 00:00:00,2006-05-02 00:00:00,185,2006-05-02 00:00:00,185,185,1,200,37000,2006-05-02 00:00:00,1
2006-05-03 00:00:00,2006-05-03 00:00:00,182,2006-05-03 00:00:00,182,182,1,100,18200,2006-05-03 00:00:00,1
2006-05-04 00:00:00,2006-05-04 00:00:00,183,2006-05-04 00:00:00,183,183,1,100,18300,2006-05-04 00:00:00,1
2006-05-08 00:00:00,2006-05-08 00:00:00,186.5,2006-05-08 00:00:00,186.5,186.5,1,100,18650,2006-05-08 00:00:00,1
2006-05-09 00:00:00,2006-05-09 00:00:00,185,2006-05-09 00:00:00,185,185,3,700,129500,2006-05-09 00:00:00,1
2006-05-10 00:00:00,2006-05-10 00:00:00,185,2006-05-10 00:00:00,185,185,7,1000,185000,2006-05-10 00:00:00,1
2006-05-17 00:00:00,2006-05-17 00:00:00,185,2006-05-17 00:00:00,185,185,2,200,37000,2006-05-17 00:00:00,1
2006-05-18 00:00:00,2006-05-18 00:00:00,185,2006-05-18 00:00:00,185,185,1,200,37000,2006-05-18 00:00:00,1
2006-05-19 00:00:00,2006-05-19 00:00:00,191,2006-05-19 00:00:00,189,190,30,28800,5471800,2006-05-19 00:00:00,1
2006-05-22 00:00:00,2006-05-22 00:00:00,190,2006-05-22 00:00:00,190,190,1,500,95000,2006-05-22 00:00:00,1
2006-05-23 00:00:00,2006-05-23 00:00:00,194,2006-05-23 00:00:00,190,192.25,21,4200,802400,2006-05-23 00:00:00,1
2006-05-24 00:00:00,2006-05-24 00:00:00,186,2006-05-24 00:00:00,170,178.75,8,2800,496200,2006-05-24 00:00:00,1
2006-05-25 00:00:00,2006-05-25 00:00:00,179.5,2006-05-25 00:00:00,179,179.25,5,1300,232850,2006-05-25 00:00:00,1
2006-05-26 00:00:00,2006-05-26 00:00:00,179,2006-05-26 00:00:00,175,176.25,4,400,70400,2006-05-26 00:00:00,1
2006-05-29 00:00:00,2006-05-29 00:00:00,176,2006-05-29 00:00:00,176,176,2,1900,334400,2006-05-29 00:00:00,1
2006-05-30 00:00:00,2006-05-30 00:00:00,175.5,2006-05-30 00:00:00,175,175,5,500,87600,2006-05-30 00:00:00,1
2006-05-31 00:00:00,2006-05-31 00:00:00,176,2006-05-31 00:00:00,175,176,5,1900,333800,2006-05-31 00:00:00,1
2006-06-02 00:00:00,2006-06-02 00:00:00,176,2006-06-02 00:00:00,176,176,2,1100,193600,2006-06-02 00:00:00,1
_x000c_ REPORT :,HIGHLOW Rev,2.1,,,,,,RUN :,2007-11-23 00:00:00,
,,,DAILY,"HIGH, LOW",AND CLOSIN,G PRICES A,S AT    23-NOV-2,007          PAGE:,**,
,,,==========,===========,===========,==========,================,,,
Company Id,:  COXY,Security,Type :  N,Sub T,ype :  0000,,,,,
Short Name,:  CEYLON O,XYGEN,,,,,,,,
-----------,-----------,------------,------------,-----------,-----------,----------,----------------,-------------------,-------------,------
Day,Date High,High,Date Low,Low,Closing,Trades(No,.)  Shares(No.),Turnover(Rs.),Last TradedD,ays Tr
----------,-----------,------------,------------,-----------,-----------,----------,----------------,-------------------,-------------,------
2006-06-05 00:00:00,2006-06-05 00:00:00,178,2006-06-05 00:00:00,178,178,1,100,17800,2006-06-05 00:00:00,1
2006-06-06 00:00:00,2006-06-06 00:00:00,176,2006-06-06 00:00:00,176,176,2,200,35200,2006-06-06 00:00:00,1
2006-06-07 00:00:00,2006-06-07 00:00:00,180,2006-06-07 00:00:00,178,180,15,4900,879800,2006-06-07 00:00:00,1
2006-06-08 00:00:00,2006-06-08 00:00:00,180,2006-06-08 00:00:00,180,180,2,300,54000,2006-06-08 00:00:00,1
2006-06-12 00:00:00,2006-06-12 00:00:00,179,2006-06-12 00:00:00,178,178,2,200,35700,2006-06-12 00:00:00,1
2006-06-13 00:00:00,2006-06-13 00:00:00,178,2006-06-13 00:00:00,176.25,178,3,500,88375,2006-06-13 00:00:00,1
2006-06-14 00:00:00,2006-06-14 00:00:00,178,2006-06-14 00:00:00,178,178,8,1600,284800,2006-06-14 00:00:00,1
2006-06-15 00:00:00,2006-06-15 00:00:00,179.5,2006-06-15 00:00:00,176.5,176.5,8,1900,336800,2006-06-15 00:00:00,1
2006-06-16 00:00:00,2006-06-16 00:00:00,176.5,2006-06-16 00:00:00,176.5,176.5,2,400,70600,2006-06-16 00:00:00,1
2006-06-19 00:00:00,2006-06-19 00:00:00,175,2006-06-19 00:00:00,175,175,3,400,70000,2006-06-19 00:00:00,1
2006-06-20 00:00:00,2006-06-20 00:00:00,175,2006-06-20 00:00:00,170,175,12,3800,663200,2006-06-20 00:00:00,1
2006-06-22 00:00:00,2006-06-22 00:00:00,175,2006-06-22 00:00:00,175,175,1,100,17500,2006-06-22 00:00:00,1
2006-06-26 00:00:00,2006-06-26 00:00:00,170,2006-06-26 00:00:00,170,170,1,200,34000,2006-06-26 00:00:00,1
2006-06-29 00:00:00,2006-06-29 00:00:00,229,2006-06-29 00:00:00,210,226.25,82,22600,5064975,2006-06-29 00:00:00,1
2006-06-30 00:00:00,2006-06-30 00:00:00,228,2006-06-30 00:00:00,225,225.75,14,3500,789400,2006-06-30 00:00:00,1
2006-07-03 00:00:00,2006-07-03 00:00:00,225.75,2006-07-03 00:00:00,225.25,225.25,8,2800,631650,2006-07-03 00:00:00,1
2006-07-04 00:00:00,2006-07-04 00:00:00,225,2006-07-04 00:00:00,224,224,8,6300,1417400,2006-07-04 00:00:00,1
2006-07-05 00:00:00,2006-07-05 00:00:00,225,2006-07-05 00:00:00,222.5,225,26,8800,1977875,2006-07-05 00:00:00,1
2006-07-06 00:00:00,2006-07-06 00:00:00,225,2006-07-06 00:00:00,224,224.25,12,4700,1054650,2006-07-06 00:00:00,1
2006-07-07 00:00:00,2006-07-07 00:00:00,225,2006-07-07 00:00:00,224.75,225,18,9400,2114925,2006-07-07 00:00:00,1
2006-07-11 00:00:00,2006-07-11 00:00:00,225,2006-07-11 00:00:00,225,225,4,1400,315000,2006-07-11 00:00:00,1
2006-07-12 00:00:00,2006-07-12 00:00:00,225,2006-07-12 00:00:00,225,225,10,1800,405000,2006-07-12 00:00:00,1
2006-07-13 00:00:00,2006-07-13 00:00:00,225,2006-07-13 00:00:00,225,225,4,1500,337500,2006-07-13 00:00:00,1
2006-07-14 00:00:00,2006-07-14 00:00:00,225,2006-07-14 00:00:00,225,225,1,1000,225000,2006-07-14 00:00:00,1
2006-07-17 00:00:00,2006-07-17 00:00:00,225,2006-07-17 00:00:00,222,224,6,1100,247000,2006-07-17 00:00:00,1
2006-07-18 00:00:00,2006-07-18 00:00:00,225,2006-07-18 00:00:00,225,225,6,1300,292500,2006-07-18 00:00:00,1
2006-07-19 00:00:00,2006-07-19 00:00:00,225,2006-07-19 00:00:00,225,225,1,100,22500,2006-07-19 00:00:00,1
2006-07-20 00:00:00,2006-07-20 00:00:00,225,2006-07-20 00:00:00,225,225,5,1400,315000,2006-07-20 00:00:00,1
2006-07-21 00:00:00,2006-07-21 00:00:00,225,2006-07-21 00:00:00,224,224,5,3100,696900,2006-07-21 00:00:00,1
2006-07-24 00:00:00,2006-07-24 00:00:00,226,2006-07-24 00:00:00,215.25,226,4,1000,224825,2006-07-24 00:00:00,1
2006-07-26 00:00:00,2006-07-26 00:00:00,227,2006-07-26 00:00:00,227,227,2,500,113500,2006-07-26 00:00:00,1
2006-07-28 00:00:00,2006-07-28 00:00:00,224,2006-07-28 00:00:00,224,224,1,100,22400,2006-07-28 00:00:00,1
2006-07-31 00:00:00,2006-07-31 00:00:00,223,2006-07-31 00:00:00,223,223,2,200,44600,2006-07-31 00:00:00,1
2006-08-01 00:00:00,2006-08-01 00:00:00,225,2006-08-01 00:00:00,225,225,1,100,22500,2006-08-01 00:00:00,1
2006-08-02 00:00:00,2006-08-02 00:00:00,220,2006-08-02 00:00:00,220,220,1,100,22000,2006-08-02 00:00:00,1
2006-08-04 00:00:00,2006-08-04 00:00:00,220.25,2006-08-04 00:00:00,220.25,220.25,1,100,22025,2006-08-04 00:00:00,1
2006-08-07 00:00:00,2006-08-07 00:00:00,220.5,2006-08-07 00:00:00,220.5,220.5,2,200,44100,2006-08-07 00:00:00,1
2006-08-08 00:00:00,2006-08-08 00:00:00,220,2006-08-08 00:00:00,220,220,1,100,22000,2006-08-08 00:00:00,1
2006-08-10 00:00:00,2006-08-10 00:00:00,225,2006-08-10 00:00:00,222,225,7,5600,1259600,2006-08-10 00:00:00,1
2006-08-14 00:00:00,2006-08-14 00:00:00,221.5,2006-08-14 00:00:00,220.5,220.75,5,1000,220825,2006-08-14 00:00:00,1
2006-08-15 00:00:00,2006-08-15 00:00:00,225,2006-08-15 00:00:00,221,221,4,10400,2298825,2006-08-15 00:00:00,1
2006-08-16 00:00:00,2006-08-16 00:00:00,223,2006-08-16 00:00:00,222,222.75,4,400,89075,2006-08-16 00:00:00,1
2006-08-17 00:00:00,2006-08-17 00:00:00,224,2006-08-17 00:00:00,222.75,222.75,13,2300,512950,2006-08-17 00:00:00,1
2006-08-18 00:00:00,2006-08-18 00:00:00,225,2006-08-18 00:00:00,223,223.5,19,3400,761800,2006-08-18 00:00:00,1
2006-08-21 00:00:00,2006-08-21 00:00:00,225,2006-08-21 00:00:00,223,224.5,7,2100,470300,2006-08-21 00:00:00,1
2006-08-22 00:00:00,2006-08-22 00:00:00,224,2006-08-22 00:00:00,223,224,3,1000,223500,2006-08-22 00:00:00,1
2006-08-23 00:00:00,2006-08-23 00:00:00,225,2006-08-23 00:00:00,224,225,2,700,157300,2006-08-23 00:00:00,1
2006-08-24 00:00:00,2006-08-24 00:00:00,225,2006-08-24 00:00:00,224.25,224.25,4,800,179775,2006-08-24 00:00:00,1
2006-08-25 00:00:00,2006-08-25 00:00:00,226,2006-08-25 00:00:00,225,225.75,8,1000,225200,2006-08-25 00:00:00,1
2006-08-29 00:00:00,2006-08-29 00:00:00,226,2006-08-29 00:00:00,225,225.25,12,2900,654475,2006-08-29 00:00:00,1
2006-08-30 00:00:00,2006-08-30 00:00:00,226,2006-08-30 00:00:00,225,225.25,4,600,135275,2006-08-30 00:00:00,1
2006-08-31 00:00:00,2006-08-31 00:00:00,226,2006-08-31 00:00:00,225.5,225.75,4,2200,496600,2006-08-31 00:00:00,1
2006-09-01 00:00:00,2006-09-01 00:00:00,227,2006-09-01 00:00:00,225,227,2,600,135200,2006-09-01 00:00:00,1
_x000c_ REPORT :,HIGHLOW Rev,2.1,,,,,,RUN :,2007-11-23 00:00:00,
,,,DAILY,"HIGH, LOW",AND CLOSIN,G PRICES A,S AT    23-NOV-2,007          PAGE:,**,
,,,==========,===========,===========,==========,================,,,
Company Id,:  COXY,Security,Type :  N,Sub T,ype :  0000,,,,,
Short Name,:  CEYLON O,XYGEN,,,,,,,,
-----------,-----------,------------,------------,-----------,-----------,----------,----------------,-------------------,-------------,------
Day,Date High,High,Date Low,Low,Closing,Trades(No,.)  Shares(No.),Turnover(Rs.),Last TradedD,ays Tr
----------,-----------,------------,------------,-----------,-----------,----------,----------------,-------------------,-------------,------
2006-09-06 00:00:00,2006-09-06 00:00:00,227,2006-09-06 00:00:00,227,227,1,100,22700,2006-09-06 00:00:00,1
2006-09-08 00:00:00,2006-09-08 00:00:00,227.5,2006-09-08 00:00:00,227.5,227.5,1,200,45500,2006-09-08 00:00:00,1
2006-09-11 00:00:00,2006-09-11 00:00:00,227.5,2006-09-11 00:00:00,227.25,227.25,2,700,159125,2006-09-11 00:00:00,1
2006-09-13 00:00:00,2006-09-13 00:00:00,228,2006-09-13 00:00:00,228,228,2,700,159600,2006-09-13 00:00:00,1
2006-09-15 00:00:00,2006-09-15 00:00:00,228,2006-09-15 00:00:00,228,228,1,1300,296400,2006-09-15 00:00:00,1
2006-09-19 00:00:00,2006-09-19 00:00:00,228,2006-09-19 00:00:00,227.25,227.25,2,1100,250050,2006-09-19 00:00:00,1
2006-09-21 00:00:00,2006-09-21 00:00:00,228,2006-09-21 00:00:00,228,228,1,100,22800,2006-09-21 00:00:00,1
2006-09-22 00:00:00,2006-09-22 00:00:00,229,2006-09-22 00:00:00,228.25,228.25,2,1000,228475,2006-09-22 00:00:00,1
2006-09-25 00:00:00,2006-09-25 00:00:00,236,2006-09-25 00:00:00,230,236,13,4785000,1157660825,2006-09-25 00:00:00,1
2006-09-26 00:00:00,2006-09-26 00:00:00,233,2006-09-26 00:00:00,233,233,1,100,23300,2006-09-26 00:00:00,1
2006-09-27 00:00:00,2006-09-27 00:00:00,232,2006-09-27 00:00:00,232,232,2,500,116000,2006-09-27 00:00:00,1
2006-09-28 00:00:00,2006-09-28 00:00:00,232.25,2006-09-28 00:00:00,232,232.25,2,1200,278675,2006-09-28 00:00:00,1
2006-10-02 00:00:00,2006-10-02 00:00:00,235,2006-10-02 00:00:00,235,235,2,600,141000,2006-10-02 00:00:00,1
2006-10-03 00:00:00,2006-10-03 00:00:00,232.25,2006-10-03 00:00:00,232.25,232.25,1,100,23225,2006-10-03 00:00:00,1
2006-10-04 00:00:00,2006-10-04 00:00:00,232.5,2006-10-04 00:00:00,232.25,232.25,3,300,69700,2006-10-04 00:00:00,1
2006-10-05 00:00:00,2006-10-05 00:00:00,232.5,2006-10-05 00:00:00,232.5,232.5,2,200,46500,2006-10-05 00:00:00,1
2006-10-09 00:00:00,2006-10-09 00:00:00,236,2006-10-09 00:00:00,235.75,236,2,900,212325,2006-10-09 00:00:00,1
2006-10-10 00:00:00,2006-10-10 00:00:00,242,2006-10-10 00:00:00,236,239.75,5,600,143800,2006-10-10 00:00:00,1
2006-10-11 00:00:00,2006-10-11 00:00:00,236,2006-10-11 00:00:00,236,236,1,100,23600,2006-10-11 00:00:00,1
2006-10-12 00:00:00,2006-10-12 00:00:00,236,2006-10-12 00:00:00,230,231.75,8,1500,348550,2006-10-12 00:00:00,1
2006-10-13 00:00:00,2006-10-13 00:00:00,235,2006-10-13 00:00:00,232,232.25,10,3000,698650,2006-10-13 00:00:00,1
2006-10-16 00:00:00,2006-10-16 00:00:00,232,2006-10-16 00:00:00,230,230,6,900,207700,2006-10-16 00:00:00,1
2006-10-17 00:00:00,2006-10-17 00:00:00,230.25,2006-10-17 00:00:00,230,230.25,12,1700,391250,2006-10-17 00:00:00,1
2006-10-19 00:00:00,2006-10-19 00:00:00,211,2006-10-19 00:00:00,200,210.25,4,800,167100,2006-10-19 00:00:00,1
2006-10-20 00:00:00,2006-10-20 00:00:00,240,2006-10-20 00:00:00,229.5,237.5,9,12200,2858650,2006-10-20 00:00:00,1
2006-10-25 00:00:00,2006-10-25 00:00:00,235,2006-10-25 00:00:00,235,235,1,2000,470000,2006-10-25 00:00:00,1
2006-10-27 00:00:00,2006-10-27 00:00:00,235,2006-10-27 00:00:00,235,235,2,200,47000,2006-10-27 00:00:00,1
2006-11-01 00:00:00,2006-11-01 00:00:00,245,2006-11-01 00:00:00,235,240.25,3,300,71525,2006-11-01 00:00:00,1
2006-11-02 00:00:00,2006-11-02 00:00:00,245,2006-11-02 00:00:00,245,245,1,1600,392000,2006-11-02 00:00:00,1
2006-11-06 00:00:00,2006-11-06 00:00:00,255,2006-11-06 00:00:00,245,254.5,10,1700,427975,2006-11-06 00:00:00,1
2006-11-07 00:00:00,2006-11-07 00:00:00,268.5,2006-11-07 00:00:00,255,260,7,1200,309350,2006-11-07 00:00:00,1
2006-11-08 00:00:00,2006-11-08 00:00:00,270,2006-11-08 00:00:00,260,270,10,1300,345550,2006-11-08 00:00:00,1
2006-11-09 00:00:00,2006-11-09 00:00:00,270,2006-11-09 00:00:00,265,270,10,1500,403500,2006-11-09 00:00:00,1
